Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C201, C205, C207, C502",0402,5,10uF,
"C102, C104, C107, C203, C301, C801, C802",0402,7,1uF,
"C103, C105, C106, C108, C110, C111, C208, C306, C310, C407, C409, C420, C421, C501, C701, C806, C807, C809, C902, C904, C905, C907, C909, C910",0402,24,100nF,
"C109, C804, C805, C808, C901, C903, C906, C908",0402,8,10nF,
"C112, C113",0402,2,11pF,
"C202, C414",0603,2,10uF,
C204,0603,1,22uF,
"C206, C302",0402,2,4.7uF,
"C303, C313",CP_EIA-7360-38_Kemet-E,2,100uF,T52M1107M035C0100
"C304, C305, C307, C308, C309, C312, C314, C315, C316, C317, C410",1206,11,47uF,
C311,0603,1,160pF,
C401,0603,1,2.2uF,
C402,0402,1,180pF,
C403,0402,1,3.9nF,
"C404, C413",0402,2,1uF,CL05X105KA5NQNC
"C405, C406, C417, C419",0805,4,22uF,
C408,0402,1,2.2uF, GRM155R61E225ME15D
C411,0603,1,10uF,TMK107BBJ106MA-T
"C412, C423",0402,2,100nF,C1005X5R1E104KT000E
C415,0402,1,120pF,
C416,0402,1,2.2nF,
C418,0402,1,2.2uF,GRM155R61E225ME15D
C422,0603,1,10uF, TMK107BBJ106MA-T
C424,1206,1,22uF,
C503,0402,1,47nF,
C803,0402,1,220nF,
D1001,RCLAMP3346PQTNT,1,RCLAMP3346PQTNT,
"D101, D102",0402,2,LED_GREEN,
D103,0402,1,LED_ORANGE,
D104,0402,1,LED_BLUE,
D105,0402,1,LED_RED,
D1101,CPD,1,CPDF3V3UP-HF,
D401,CPD,1,CPDF5V0U-HF,
D501,SOT-23,1,SM712_SOT23,
D601,SOT-143,1,SP0503BAHT,
D602,0402,1,LED_WHITE,
J103,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,RBUS,
"J1101, J801, J802, J803",Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,4,1053131103,
J601,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J701,JAE_ST1W008S4TR2000,1,ST1W008S4TR2000,
"J901, J902",Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,2,1053131102,
L101,0402,1,2nH,
L102,0402,1,20nH,
L201,0805,1,1uH,
L301,IND_SPM10065VT-3R3M-D,1,3.3uH,SPM10065VT-3R3M-D
"L401, L402",IND_SRP6540-390M,2,5uH,
LOGO1,iclr_logo_estd2018_10mm,1,ICLR LOGO,
Q301,SOT-723,1,"SSM3K15AMFV,L3F",
Q701,SOT-23,1,DMP3099L, DMP3099L
"R101, R105, R201, R204, R301, R303, R309, R404, R414, R702",0402,10,10kΩ,
"R102, R106",0402,2,470Ω,
"R103, R104, R305, R701, R807, R808, R811, R812, R816, R818",0402,10,1kΩ,
R107,0402,1,499Ω,
R108,0402,1,3kΩ,
R109,0402,1,18kΩ,
R202,0402,1,14kΩ,
R203,0402,1,56kΩ,
R302,0402,1,113kΩ,ERJ-2RKF1133X
R304,0402,1,2.2Ω,
R306,0402,1,442kΩ, ERJ-2RKF4423X 
R307,0402,1,200kΩ,
"R308, R403, R411",0402,3,100kΩ,
R310,0603,1,5.1Ω,
R401,0402,1,7.87kΩ,
R402,0402,1,360kΩ,
R405,0402,1,560kΩ,
"R406, R412",0402,2,49.9kΩ,
R407,0603,1,150kΩ,
R408,0402,1,301kΩ,
R409,0402,1,18.7kΩ,
R410,0402,1,976kΩ,
R413,0402,1,432kΩ,
R415,0402,1,475kΩ,
R416,0402,1,287kΩ,
R501,0603,1,0Ω,
"R502, R503",0603,2,60Ω,
"R601, R602, R603",0402,3,5.1kΩ,
"R801, R804, R813",0402,3,75kΩ,RT0402BRD0775KL
"R802, R805, R814",0402,3,14kΩ,0402WGF1402TCE
"R803, R806, R815",0402,3,10kΩ, ERA2ARB103X
"R809, R810, R817",0402,3,49.9Ω,RT0402BRD0749R9L
"R901, R902, R903, R904",0402,4,100Ω,
U101,QFN40P700X700X90-57N,1,ESP32-S3,
U201,SOTFL50P160X60-8N,1,LM66200DRLR,
U202,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U203,SOIC127P599X175-9N,1,SC4215ASTRT,
U301,SiC437BEDT1GE3,1,SiC437AED-T1,
U401,IC_TPS61089RNRR,1,TPS61089RNRR,
U402,SOT95P282X145-5N,1,AP2205-W5-7,
U403,SOT95P282X145-5N,1,AP2205-W5-7,AP2205-W5-7
U404,IC_TPS61089RNRR,1,TPS61089RNRR,TPS61089RNRR
U501,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U801,QFN40P300X300X80-21N-D,1,ADS131M04IRUKR,ADS131M04IRUKR
"U901, U902",TSSOP-14_4.4x5mm_P0.65mm,2,MAX31856,
Y101,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,R940000171,
