Designator,Mid X,Mid Y,Rotation,Layer
C101,159.525,-83.59,90.0,top
C102,160.925,-82.24,0.0,top
C103,160.925,-84.14,0.0,top
C104,158.525,-83.59,90.0,top
C105,157.475,-83.59,90.0,top
C106,156.425,-83.59,90.0,top
C107,156.45,-86.185,270.0,top
C108,160.475,-80.84,90.0,top
C109,155.525,-86.19,270.0,top
C110,152.625,-75.59,90.0,top
C111,149.075,-85.89,180.0,top
C112,151.225,-88.49,90.0,top
C113,155.07,-88.54,270.0,top
C201,144.133814,-97.880492,0.0,top
C202,141.355958,-98.524869,180.0,top
C203,144.133814,-98.800492,0.0,top
C204,141.543814,-103.595492,180.0,top
C205,146.29,-108.22,270.0,top
C206,146.293814,-106.140492,90.0,top
C207,137.953814,-105.220492,270.0,top
C208,137.033814,-105.220492,270.0,top
C301,134.944,-78.09,180.0,top
C302,134.444,-80.334,270.0,top
C303,123.325,-78.67,90.0,top
C304,127.725,-99.09,180.0,top
C305,133.525,-99.09,0.0,top
C306,127.125,-79.022,270.0,top
C307,133.525,-96.79,0.0,top
C308,127.725,-96.79,180.0,top
C309,127.75,-101.39,180.0,top
C310,129.494,-74.784,90.0,top
C311,133.425,-82.19,90.0,bottom
C401,168.875,-104.250293,270.0,top
C402,173.375,-103.74,0.0,top
C403,173.375,-104.69,0.0,top
C404,172.475,-98.39,90.0,top
C405,175.175,-101.04,270.0,top
C406,173.175,-101.04,270.0,top
C407,168.625,-99.920293,270.0,top
C408,175.225,-104.99,0.0,top
C409,169.625,-98.400293,90.0,top
C410,167.425,-108.14,0.0,top
C411,174.625,-97.84,90.0,top
C412,173.425,-98.42,90.0,top
C413,178.925,-73.76,90.0,top
C414,170.596771,-87.341005,270.0,top
C415,173.696771,-86.741005,270.0,top
C416,175.596771,-87.341005,90.0,top
C417,174.871005,-84.121005,270.0,top
C418,184.675,-71.44,0.0,top
C419,176.871005,-84.121005,270.0,top
C420,170.346771,-83.041005,270.0,top
C421,171.296771,-81.491005,90.0,top
C422,174.396771,-80.941005,90.0,top
C423,175.621005,-81.471005,90.0,top
C424,172.225,-89.99,0.0,top
C501,140.361,-86.580001,180.0,top
C502,140.025,-87.69,180.0,top
C503,139.811,-77.730001,90.0,top
C701,159.625,-92.74,90.0,top
C801,174.925,-95.89,180.0,top
C802,173.025,-95.89,180.0,top
C803,171.175,-95.89,180.0,top
C804,180.375,-106.79,180.0,top
C805,180.975,-84.441,180.0,top
C806,183.375,-97.64,90.0,top
C807,183.425,-76.29,270.0,top
C808,180.475,-94.29,180.0,top
C809,183.425,-87.29,270.0,top
C901,173.225,-68.64,0.0,top
C902,175.125,-68.94,0.0,top
C903,176.525,-68.64,90.0,top
C904,172.675,-70.04,90.0,top
C905,172.675,-76.84,90.0,top
C906,167.425,-68.64,0.0,top
C907,169.325,-68.84,0.0,top
C908,170.725,-68.64,90.0,top
C909,166.925,-70.04,90.0,top
C910,166.425,-76.39,0.0,top
D1001,156.495,-67.75,180.0,top
D101,145.625,-79.99,270.0,top
D102,136.961,-84.396001,90.0,top
D103,143.361,-84.39,90.0,top
D104,163.649999,-70.14,0.0,top
D105,181.775,-70.49,0.0,top
D1101,135.425,-101.49,180.0,top
D401,177.5,-106.94,315.0,top
D501,139.711,-74.842501,90.0,top
D601,147.525,-70.54,270.0,top
D602,152.025,-68.9225,90.0,top
J1001,159.865,-63.02,90.0,top
J101,160.675,-87.636,0.0,top
J102,164.946,-80.99,90.0,top
J103,134.325,-64.24,0.0,top
J1101,131.425,-107.615,270.0,top
J601,147.375,-64.365,180.0,top
J701,153.975,-101.8525,270.0,top
J801,188.9,-98.39,0.0,top
J802,188.95,-79.49,0.0,top
J803,188.95,-88.94,0.0,top
J901,175.925,-61.415,90.0,top
J902,168.975,-61.425,90.0,top
JP501,140.5135,-79.202501,0.0,bottom
JP701,158.42125,-92.665,270.0,top
JP805,181.65,-104.6175,180.0,top
JP806,182.325,-82.991,180.0,top
JP811,182.35,-94.04,180.0,top
L101,157.86,-85.09,180.0,top
L102,154.02,-86.19,270.0,top
L201,138.975853,-101.068058,270.0,top
L301,130.625,-89.39,90.0,top
L401,164.625,-102.99,90.0,top
L402,166.325,-87.19,90.0,top
Q301,134.144,-73.784,180.0,top
Q701,155.74375,-91.99,0.0,top
R101,160.915,-83.19,180.0,top
R102,144.625,-80.0,90.0,top
R103,136.961,-82.49,270.0,top
R104,143.361,-82.49,270.0,top
R105,161.425,-80.84,270.0,top
R106,163.675,-69.19,180.0,top
R107,146.655,-80.0,270.0,top
R108,183.645,-70.49,180.0,top
R109,145.325,-81.89,270.0,top
R201,140.425,-96.49,315.0,top
R202,144.993814,-100.880492,90.0,top
R203,137.943814,-107.067777,270.0,top
R204,137.943814,-108.927777,270.0,top
R301,135.425,-79.49,270.0,top
R302,134.934,-76.134,180.0,top
R303,134.944,-77.084,180.0,top
R304,128.544,-74.784,90.0,top
R305,135.544,-73.784,270.0,top
R306,134.944,-75.184,180.0,top
R307,131.794,-74.784,90.0,top
R308,130.844,-74.784,90.0,top
R309,132.744,-74.784,90.0,top
